search_id,user_id,session_id,timestamp,search_term,device_type,search_source,results_returned,search_results,search_time_taken,clicked_result,clicked_result_name,conversion
14,7319,197752,2025-01-17 21:13:53.421222,gaming chair,Tablet,Product Page,True,"['DXRacer', 'Secretlab Titan', 'Razer Iskur']",0.49,True,Secretlab Titan,False
15,3428,674286,2025-01-19 06:00:15.421222,keyboard,Desktop,Product Page,True,"['Logitech MX Keys', 'Razer BlackWidow', 'Corsair K95']",1.68,True,Corsair K95,True
16,8357,479701,2025-01-09 15:27:08.421222,dresses,Mobile,Category Page,False,[],2.66,False,,False
17,6524,518046,2025-01-13 14:33:29.421222,socks,Desktop,Product Page,False,[],1.65,False,,False
18,2985,212264,2025-02-02 01:23:07.421222,water bottle,Mobile,Homepage,False,[],2.2,False,,False
19,8923,885718,2025-01-29 08:58:47.421222,coffee mug,Tablet,Homepage,True,"['Ceramic Mug', 'Travel Mug', 'Insulated Mug']",2.45,True,Insulated Mug,False
20,8888,250590,2025-01-30 16:15:13.421222,laptop,Mobile,Product Page,True,"['Dell XPS 13', 'MacBook Air', 'HP Spectre x360']",1.87,False,,False
21,7022,807485,2025-01-07 19:51:38.421222,laptop,Tablet,Category Page,True,"['Dell XPS 13', 'MacBook Air', 'HP Spectre x360']",2.14,True,Dell XPS 13,False
22,5298,131827,2025-01-22 13:53:42.421222,keyboard,Mobile,Category Page,True,"['Logitech MX Keys', 'Razer BlackWidow', 'Corsair K95']",1.56,False,,False
23,7275,307066,2025-01-12 13:26:55.421222,mouse,Mobile,Product Page,True,"['Logitech MX Master 3', 'Razer DeathAdder', 'SteelSeries Rival 5']",0.63,True,Razer DeathAdder,False
24,1795,719753,2025-01-05 12:22:04.421222,shoes,Tablet,Category Page,False,[],0.97,False,,False
25,9664,614311,2025-01-10 07:58:41.421222,dresses,Desktop,Category Page,False,[],2.16,False,,False
26,4104,60738,2025-01-10 02:55:55.421222,dresses,Desktop,Homepage,False,[],1.4,False,,False
27,9411,283137,2025-01-13 11:18:36.421222,coffee mug,Mobile,Product Page,True,"['Ceramic Mug', 'Travel Mug', 'Insulated Mug']",2.48,True,Ceramic Mug,False
28,7565,642560,2025-01-23 08:48:18.421222,mouse,Desktop,Homepage,True,"['Logitech MX Master 3', 'Razer DeathAdder', 'SteelSeries Rival 5']",2.62,True,SteelSeries Rival 5,False
29,7801,869072,2025-01-14 01:29:39.421222,shoes,Tablet,Product Page,False,[],1.19,False,,False
30,2587,96015,2025-01-17 12:40:16.421222,water bottle,Tablet,Category Page,False,[],1.22,False,,False
31,7623,429010,2025-01-11 18:15:26.421222,gaming chair,Desktop,Category Page,True,"['DXRacer', 'Secretlab Titan', 'Razer Iskur']",3.04,True,Razer Iskur,False
32,4372,595136,2025-01-24 06:44:08.421222,external hard drive,Desktop,Category Page,True,"['Seagate 2TB', 'WD My Passport', 'Samsung T7']",3.2,True,WD My Passport,False
33,1969,133614,2025-01-09 02:10:16.421222,wireless earbuds,Desktop,Product Page,True,"['AirPods Pro', 'Sony WF-1000XM4', 'Bose QuietComfort Earbuds']",1.14,True,Sony WF-1000XM4,False
34,1321,176666,2025-02-02 20:22:18.421222,coffee mug,Mobile,Category Page,True,"['Ceramic Mug', 'Travel Mug', 'Insulated Mug']",3.4,True,Travel Mug,False
35,6917,662950,2025-02-01 11:18:36.421222,headphones,Mobile,Category Page,True,"['Sony WH-1000XM5', 'Bose 700', 'Sennheiser Momentum 4']",2.0,True,Bose 700,True
36,7979,259558,2025-01-07 15:32:00.421222,external hard drive,Tablet,Category Page,True,"['Seagate 2TB', 'WD My Passport', 'Samsung T7']",2.27,True,Seagate 2TB,False
37,5732,723179,2025-01-10 14:50:06.421222,mouse,Desktop,Category Page,True,"['Logitech MX Master 3', 'Razer DeathAdder', 'SteelSeries Rival 5']",1.78,True,SteelSeries Rival 5,False
38,8460,883364,2025-01-24 22:54:07.421222,water bottle,Mobile,Category Page,False,[],0.45,False,,False
39,1007,653723,2025-02-01 22:30:09.421222,mouse,Mobile,Category Page,True,"['Logitech MX Master 3', 'Razer DeathAdder', 'SteelSeries Rival 5']",3.36,False,,False
40,2257,728239,2025-01-12 04:06:35.421222,gaming chair,Desktop,Category Page,True,"['DXRacer', 'Secretlab Titan', 'Razer Iskur']",2.23,True,Secretlab Titan,False
41,9783,573272,2025-01-29 21:30:31.421222,water bottle,Tablet,Homepage,False,[],2.27,False,,False
42,6961,691925,2025-01-07 22:40:09.421222,headphones,Tablet,Category Page,True,"['Sony WH-1000XM5', 'Bose 700', 'Sennheiser Momentum 4']",0.7,True,Sony WH-1000XM5,False
43,3441,340859,2025-01-23 08:48:12.421222,laptop,Mobile,Category Page,True,"['Dell XPS 13', 'MacBook Air', 'HP Spectre x360']",2.12,False,,False
44,6682,212765,2025-01-16 15:02:36.421222,mouse,Tablet,Category Page,True,"['Logitech MX Master 3', 'Razer DeathAdder', 'SteelSeries Rival 5']",2.22,True,Razer DeathAdder,False
45,5107,410142,2025-01-16 05:59:50.421222,shoes,Mobile,Category Page,False,[],3.24,False,,False
46,8166,583209,2025-01-28 10:46:00.421222,headphones,Desktop,Product Page,True,"['Sony WH-1000XM5', 'Bose 700', 'Sennheiser Momentum 4']",0.99,True,Sony WH-1000XM5,False
47,6296,66941,2025-02-02 08:55:59.421222,laptop,Desktop,Product Page,True,"['Dell XPS 13', 'MacBook Air', 'HP Spectre x360']",0.21,True,Dell XPS 13,False
48,3134,626189,2025-01-08 06:35:41.421222,laptop,Mobile,Product Page,True,"['Dell XPS 13', 'MacBook Air', 'HP Spectre x360']",3.36,True,HP Spectre x360,False
49,2718,463083,2025-02-03 14:19:33.421222,smartphone,Desktop,Product Page,True,"['iPhone 15', 'Samsung Galaxy S24', 'Google Pixel 8']",2.21,True,Google Pixel 8,False
50,7752,503597,2025-01-13 03:20:32.421222,gaming chair,Mobile,Product Page,True,"['DXRacer', 'Secretlab Titan', 'Razer Iskur']",2.32,False,,False
51,6802,752306,2025-01-05 22:52:25.421222,smartphone,Tablet,Category Page,True,"['iPhone 15', 'Samsung Galaxy S24', 'Google Pixel 8']",0.52,True,Google Pixel 8,False
52,7768,772230,2025-01-22 23:32:20.421222,coffee mug,Mobile,Product Page,True,"['Ceramic Mug', 'Travel Mug', 'Insulated Mug']",2.34,False,,False
53,7274,940515,2025-01-11 13:39:19.421222,smartphone,Mobile,Homepage,True,"['iPhone 15', 'Samsung Galaxy S24', 'Google Pixel 8']",2.39,True,iPhone 15,True
54,4324,808999,2025-01-23 12:03:41.421222,wireless earbuds,Tablet,Homepage,True,"['AirPods Pro', 'Sony WF-1000XM4', 'Bose QuietComfort Earbuds']",3.32,True,AirPods Pro,False
55,5958,196016,2025-01-24 12:57:30.421222,headphones,Mobile,Category Page,True,"['Sony WH-1000XM5', 'Bose 700', 'Sennheiser Momentum 4']",3.04,False,,False
56,9939,289526,2025-01-16 08:19:03.421222,external hard drive,Desktop,Category Page,True,"['Seagate 2TB', 'WD My Passport', 'Samsung T7']",2.86,False,,False
57,1766,241186,2025-01-19 02:22:02.421222,wireless earbuds,Desktop,Homepage,True,"['AirPods Pro', 'Sony WF-1000XM4', 'Bose QuietComfort Earbuds']",2.03,True,Bose QuietComfort Earbuds,False
58,6071,341441,2025-01-15 16:15:20.421222,headphones,Desktop,Category Page,True,"['Sony WH-1000XM5', 'Bose 700', 'Sennheiser Momentum 4']",1.26,True,Bose 700,False
59,8687,571441,2025-01-07 08:53:18.421222,mouse,Desktop,Category Page,True,"['Logitech MX Master 3', 'Razer DeathAdder', 'SteelSeries Rival 5']",1.92,True,Razer DeathAdder,False
60,5904,772611,2025-01-24 04:17:11.421222,socks,Mobile,Homepage,False,[],2.21,False,,False
61,1423,230680,2025-01-23 00:24:58.421222,phone case,Mobile,Product Page,True,"['OtterBox Defender', 'Spigen Tough Armor', 'Apple Silicone Case']",2.43,False,,False
62,5746,619294,2025-01-16 06:47:43.421222,headphones,Desktop,Category Page,True,"['Sony WH-1000XM5', 'Bose 700', 'Sennheiser Momentum 4']",0.5,False,,False
63,5074,184340,2025-01-06 12:49:56.421222,water bottle,Desktop,Homepage,False,[],2.69,False,,False
64,7944,921281,2025-01-24 23:30:09.421222,water bottle,Desktop,Product Page,False,[],1.33,False,,False
65,2027,187970,2025-01-19 08:03:14.421222,dresses,Mobile,Homepage,False,[],1.01,False,,False
66,7857,439191,2025-01-30 05:03:39.421222,wireless earbuds,Tablet,Category Page,True,"['AirPods Pro', 'Sony WF-1000XM4', 'Bose QuietComfort Earbuds']",0.72,True,AirPods Pro,True
67,7066,749716,2025-01-05 17:58:39.421222,mouse,Desktop,Product Page,True,"['Logitech MX Master 3', 'Razer DeathAdder', 'SteelSeries Rival 5']",2.76,True,Logitech MX Master 3,False
68,7633,731516,2025-01-25 19:10:17.421222,phone case,Mobile,Category Page,True,"['OtterBox Defender', 'Spigen Tough Armor', 'Apple Silicone Case']",1.02,False,,False
69,8075,519297,2025-01-07 20:07:27.421222,wireless earbuds,Mobile,Product Page,True,"['AirPods Pro', 'Sony WF-1000XM4', 'Bose QuietComfort Earbuds']",0.26,True,Bose QuietComfort Earbuds,False
70,9420,127833,2025-01-24 23:06:30.421222,shoes,Mobile,Product Page,False,[],1.36,False,,False
71,4722,369945,2025-01-13 16:05:06.421222,laptop,Tablet,Product Page,True,"['Dell XPS 13', 'MacBook Air', 'HP Spectre x360']",0.88,True,MacBook Air,False
72,9835,331325,2025-01-27 04:19:23.421222,wireless earbuds,Desktop,Homepage,True,"['AirPods Pro', 'Sony WF-1000XM4', 'Bose QuietComfort Earbuds']",0.9,True,AirPods Pro,True
73,5993,851654,2025-01-07 14:05:36.421222,socks,Mobile,Product Page,False,[],1.75,False,,False
74,7484,830115,2025-01-18 07:56:40.421222,mouse,Desktop,Category Page,True,"['Logitech MX Master 3', 'Razer DeathAdder', 'SteelSeries Rival 5']",2.77,False,,False
75,6641,234534,2025-01-08 17:43:12.421222,headphones,Tablet,Product Page,True,"['Sony WH-1000XM5', 'Bose 700', 'Sennheiser Momentum 4']",0.78,True,Sennheiser Momentum 4,True
76,8719,65112,2025-02-03 09:44:17.421222,headphones,Mobile,Homepage,True,"['Sony WH-1000XM5', 'Bose 700', 'Sennheiser Momentum 4']",2.81,True,Sony WH-1000XM5,False
77,2396,340327,2025-01-12 20:21:51.421222,external hard drive,Mobile,Category Page,True,"['Seagate 2TB', 'WD My Passport', 'Samsung T7']",2.23,True,WD My Passport,False
78,4906,145596,2025-01-09 18:44:24.421222,socks,Desktop,Homepage,False,[],2.26,False,,False
79,1342,130673,2025-01-12 18:46:24.421222,keyboard,Tablet,Product Page,True,"['Logitech MX Keys', 'Razer BlackWidow', 'Corsair K95']",0.66,True,Razer BlackWidow,True
80,7737,543025,2025-01-25 15:06:40.421222,laptop,Mobile,Homepage,True,"['Dell XPS 13', 'MacBook Air', 'HP Spectre x360']",1.32,True,MacBook Air,True
81,9978,632712,2025-02-03 08:20:47.421222,gaming chair,Tablet,Category Page,True,"['DXRacer', 'Secretlab Titan', 'Razer Iskur']",1.95,True,Razer Iskur,True
82,3566,392753,2025-01-16 16:55:14.421222,wireless earbuds,Desktop,Homepage,True,"['AirPods Pro', 'Sony WF-1000XM4', 'Bose QuietComfort Earbuds']",1.22,False,,False
83,8847,450253,2025-01-12 06:14:27.421222,socks,Mobile,Product Page,False,[],2.77,False,,False
84,7118,957466,2025-01-14 15:25:07.421222,laptop,Desktop,Homepage,True,"['Dell XPS 13', 'MacBook Air', 'HP Spectre x360']",1.26,False,,False
85,6461,61914,2025-01-15 12:38:55.421222,laptop,Mobile,Homepage,True,"['Dell XPS 13', 'MacBook Air', 'HP Spectre x360']",1.74,True,MacBook Air,False
86,7458,782649,2025-01-30 05:04:06.421222,water bottle,Desktop,Category Page,False,[],2.03,False,,False
87,9764,983898,2025-01-07 03:10:08.421222,coffee mug,Desktop,Homepage,True,"['Ceramic Mug', 'Travel Mug', 'Insulated Mug']",0.85,True,Insulated Mug,False
88,4523,662419,2025-01-13 20:00:52.421222,headphones,Tablet,Homepage,True,"['Sony WH-1000XM5', 'Bose 700', 'Sennheiser Momentum 4']",3.04,False,,False
89,4581,342302,2025-01-18 11:54:22.421222,keyboard,Desktop,Product Page,True,"['Logitech MX Keys', 'Razer BlackWidow', 'Corsair K95']",1.6,True,Corsair K95,False
90,1145,218524,2025-01-25 14:15:51.421222,laptop,Tablet,Category Page,True,"['Dell XPS 13', 'MacBook Air', 'HP Spectre x360']",1.31,True,MacBook Air,False
91,9566,715897,2025-02-03 06:18:20.421222,gaming chair,Desktop,Category Page,True,"['DXRacer', 'Secretlab Titan', 'Razer Iskur']",0.49,True,Secretlab Titan,False
92,2412,864959,2025-01-25 13:20:26.421222,coffee mug,Mobile,Product Page,True,"['Ceramic Mug', 'Travel Mug', 'Insulated Mug']",2.36,True,Travel Mug,True
93,8742,438765,2025-01-19 09:51:27.421222,keyboard,Desktop,Homepage,True,"['Logitech MX Keys', 'Razer BlackWidow', 'Corsair K95']",2.73,True,Corsair K95,True
94,7561,881339,2025-01-20 05:49:08.421222,dresses,Mobile,Category Page,False,[],0.51,False,,False
95,9909,547659,2025-01-14 19:33:45.421222,external hard drive,Mobile,Product Page,True,"['Seagate 2TB', 'WD My Passport', 'Samsung T7']",2.44,True,Samsung T7,False
96,5247,191123,2025-01-25 22:37:14.421222,gaming chair,Tablet,Homepage,True,"['DXRacer', 'Secretlab Titan', 'Razer Iskur']",0.48,False,,False
97,4665,495827,2025-01-21 11:34:57.421222,dresses,Mobile,Category Page,False,[],1.35,False,,False
98,2455,212889,2025-01-31 14:42:27.421222,dresses,Mobile,Category Page,False,[],0.2,False,,False
99,7040,628501,2025-01-25 06:34:49.421222,laptop,Tablet,Homepage,True,"['Dell XPS 13', 'MacBook Air', 'HP Spectre x360']",3.29,True,HP Spectre x360,False
100,9082,439361,2025-01-22 09:22:03.421222,socks,Desktop,Homepage,False,[],0.54,False,,False
101,5918,865916,2025-01-30 00:46:22.421222,laptop,Mobile,Category Page,True,"['Dell XPS 13', 'MacBook Air', 'HP Spectre x360']",1.39,True,HP Spectre x360,False
102,3526,706668,2025-01-31 02:20:51.421222,wireless earbuds,Desktop,Category Page,True,"['AirPods Pro', 'Sony WF-1000XM4', 'Bose QuietComfort Earbuds']",1.33,True,Bose QuietComfort Earbuds,False
103,9361,795555,2025-01-12 23:28:18.421222,wireless earbuds,Desktop,Product Page,True,"['AirPods Pro', 'Sony WF-1000XM4', 'Bose QuietComfort Earbuds']",3.26,False,,False
104,8148,994786,2025-01-14 23:13:24.421222,water bottle,Desktop,Homepage,False,[],3.19,False,,False
105,9574,445298,2025-01-11 14:32:28.421222,gaming chair,Mobile,Homepage,True,"['DXRacer', 'Secretlab Titan', 'Razer Iskur']",2.81,True,DXRacer,False
106,3450,89300,2025-01-12 18:14:52.421222,external hard drive,Tablet,Product Page,True,"['Seagate 2TB', 'WD My Passport', 'Samsung T7']",1.98,True,Seagate 2TB,False
107,4396,211120,2025-01-22 12:42:28.421222,headphones,Tablet,Category Page,True,"['Sony WH-1000XM5', 'Bose 700', 'Sennheiser Momentum 4']",0.86,True,Sennheiser Momentum 4,False
108,3790,553390,2025-01-18 18:02:30.421222,headphones,Mobile,Product Page,True,"['Sony WH-1000XM5', 'Bose 700', 'Sennheiser Momentum 4']",1.17,False,,False
109,3274,449056,2025-01-18 21:21:20.421222,dresses,Desktop,Product Page,False,[],3.34,False,,False
110,2670,253795,2025-01-11 06:37:41.421222,gaming chair,Desktop,Homepage,True,"['DXRacer', 'Secretlab Titan', 'Razer Iskur']",0.44,True,Secretlab Titan,False
111,2519,269823,2025-01-16 07:39:15.421222,mouse,Tablet,Homepage,True,"['Logitech MX Master 3', 'Razer DeathAdder', 'SteelSeries Rival 5']",1.87,True,Logitech MX Master 3,False
112,2057,866950,2025-01-17 14:12:01.421222,laptop,Mobile,Homepage,True,"['Dell XPS 13', 'MacBook Air', 'HP Spectre x360']",3.21,False,,False
113,5619,242673,2025-01-17 18:42:44.421222,phone case,Mobile,Category Page,True,"['OtterBox Defender', 'Spigen Tough Armor', 'Apple Silicone Case']",1.59,False,,False
114,7019,474136,2025-01-09 04:24:56.421222,shoes,Desktop,Product Page,False,[],2.77,False,,False
115,3988,265534,2025-01-27 15:13:18.421222,gaming chair,Mobile,Category Page,True,"['DXRacer', 'Secretlab Titan', 'Razer Iskur']",1.03,True,DXRacer,False
116,6115,921644,2025-01-08 12:12:56.421222,laptop,Tablet,Product Page,True,"['Dell XPS 13', 'MacBook Air', 'HP Spectre x360']",1.76,False,,False
117,7492,760553,2025-01-24 14:23:13.421222,water bottle,Desktop,Product Page,False,[],0.5,False,,False
118,1515,494283,2025-01-09 16:37:18.421222,wireless earbuds,Desktop,Homepage,True,"['AirPods Pro', 'Sony WF-1000XM4', 'Bose QuietComfort Earbuds']",2.52,True,Bose QuietComfort Earbuds,False
119,3478,85370,2025-01-22 09:14:12.421222,water bottle,Mobile,Homepage,False,[],1.75,False,,False
120,8863,150466,2025-01-09 11:59:35.421222,wireless earbuds,Tablet,Product Page,True,"['AirPods Pro', 'Sony WF-1000XM4', 'Bose QuietComfort Earbuds']",1.19,True,Bose QuietComfort Earbuds,False
121,2395,108461,2025-01-20 11:50:54.421222,keyboard,Tablet,Product Page,True,"['Logitech MX Keys', 'Razer BlackWidow', 'Corsair K95']",2.67,True,Logitech MX Keys,False
122,5346,788444,2025-01-25 16:58:36.421222,socks,Desktop,Product Page,False,[],3.4,False,,False
123,8805,495680,2025-01-07 07:31:15.421222,headphones,Mobile,Homepage,True,"['Sony WH-1000XM5', 'Bose 700', 'Sennheiser Momentum 4']",1.34,True,Sony WH-1000XM5,False
124,5990,653287,2025-01-13 08:10:54.421222,phone case,Mobile,Homepage,True,"['OtterBox Defender', 'Spigen Tough Armor', 'Apple Silicone Case']",2.23,True,Spigen Tough Armor,False
125,5195,802749,2025-01-09 05:18:24.421222,headphones,Tablet,Product Page,True,"['Sony WH-1000XM5', 'Bose 700', 'Sennheiser Momentum 4']",0.99,False,,False
126,5509,720099,2025-01-14 05:12:13.421222,smartphone,Tablet,Homepage,True,"['iPhone 15', 'Samsung Galaxy S24', 'Google Pixel 8']",1.05,True,Google Pixel 8,False
127,1762,830960,2025-01-15 17:38:28.421222,phone case,Mobile,Category Page,True,"['OtterBox Defender', 'Spigen Tough Armor', 'Apple Silicone Case']",1.99,True,Apple Silicone Case,False
128,6327,241162,2025-01-06 13:51:02.421222,coffee mug,Mobile,Product Page,True,"['Ceramic Mug', 'Travel Mug', 'Insulated Mug']",0.79,True,Insulated Mug,False
129,7280,659576,2025-01-24 19:38:59.421222,phone case,Mobile,Product Page,True,"['OtterBox Defender', 'Spigen Tough Armor', 'Apple Silicone Case']",1.86,True,OtterBox Defender,False
130,2275,458772,2025-01-08 15:22:34.421222,socks,Desktop,Homepage,False,[],0.7,False,,False
131,4192,446057,2025-01-22 08:47:23.421222,headphones,Desktop,Product Page,True,"['Sony WH-1000XM5', 'Bose 700', 'Sennheiser Momentum 4']",1.31,True,Sony WH-1000XM5,False
132,8886,748538,2025-01-28 19:41:09.421222,phone case,Tablet,Product Page,True,"['OtterBox Defender', 'Spigen Tough Armor', 'Apple Silicone Case']",3.47,True,Spigen Tough Armor,False
133,7630,332699,2025-01-30 14:43:23.421222,external hard drive,Tablet,Product Page,True,"['Seagate 2TB', 'WD My Passport', 'Samsung T7']",0.48,True,Samsung T7,True
134,5332,521255,2025-01-21 17:14:20.421222,smartphone,Tablet,Product Page,True,"['iPhone 15', 'Samsung Galaxy S24', 'Google Pixel 8']",0.23,True,Samsung Galaxy S24,False
135,7538,352815,2025-01-15 23:44:33.421222,smartphone,Mobile,Product Page,True,"['iPhone 15', 'Samsung Galaxy S24', 'Google Pixel 8']",2.83,False,,False
136,2991,170501,2025-01-25 13:00:52.421222,headphones,Tablet,Category Page,True,"['Sony WH-1000XM5', 'Bose 700', 'Sennheiser Momentum 4']",0.7,True,Bose 700,False
137,7270,656621,2025-01-26 12:51:12.421222,wireless earbuds,Mobile,Product Page,True,"['AirPods Pro', 'Sony WF-1000XM4', 'Bose QuietComfort Earbuds']",0.2,True,Sony WF-1000XM4,False
138,9588,107753,2025-01-30 01:28:13.421222,laptop,Mobile,Product Page,True,"['Dell XPS 13', 'MacBook Air', 'HP Spectre x360']",2.2,True,HP Spectre x360,False
139,6051,64102,2025-01-22 02:35:36.421222,coffee mug,Desktop,Homepage,True,"['Ceramic Mug', 'Travel Mug', 'Insulated Mug']",2.05,True,Insulated Mug,False
140,8156,157091,2025-01-15 12:13:46.421222,smartphone,Desktop,Category Page,True,"['iPhone 15', 'Samsung Galaxy S24', 'Google Pixel 8']",0.77,False,,False
141,9479,368122,2025-01-09 05:29:16.421222,socks,Mobile,Product Page,False,[],2.19,False,,False
142,8957,929566,2025-01-30 16:02:00.421222,socks,Desktop,Homepage,False,[],0.39,False,,False
143,6325,116638,2025-01-12 11:55:12.421222,coffee mug,Mobile,Product Page,True,"['Ceramic Mug', 'Travel Mug', 'Insulated Mug']",2.94,True,Travel Mug,True
144,6402,438531,2025-01-22 02:56:58.421222,smartphone,Tablet,Homepage,True,"['iPhone 15', 'Samsung Galaxy S24', 'Google Pixel 8']",0.94,True,Samsung Galaxy S24,False
145,1176,929357,2025-01-12 06:40:38.421222,gaming chair,Tablet,Homepage,True,"['DXRacer', 'Secretlab Titan', 'Razer Iskur']",1.54,False,,False
146,1131,977187,2025-01-14 20:37:39.421222,phone case,Desktop,Category Page,True,"['OtterBox Defender', 'Spigen Tough Armor', 'Apple Silicone Case']",3.27,True,OtterBox Defender,False
147,7767,191842,2025-01-12 02:21:54.421222,water bottle,Tablet,Product Page,False,[],3.15,False,,False
148,8434,582510,2025-01-26 01:26:07.421222,smartphone,Desktop,Product Page,True,"['iPhone 15', 'Samsung Galaxy S24', 'Google Pixel 8']",0.62,False,,False
149,5869,350090,2025-01-23 09:55:39.421222,laptop,Tablet,Product Page,True,"['Dell XPS 13', 'MacBook Air', 'HP Spectre x360']",1.74,True,Dell XPS 13,False
150,6781,233868,2025-01-06 21:37:00.421222,laptop,Mobile,Homepage,True,"['Dell XPS 13', 'MacBook Air', 'HP Spectre x360']",2.0,True,MacBook Air,False
151,5833,972339,2025-01-07 03:54:18.421222,water bottle,Mobile,Category Page,False,[],1.86,False,,False
152,3900,99069,2025-01-10 23:21:13.421222,water bottle,Desktop,Category Page,False,[],3.29,False,,False
153,8036,239470,2025-01-25 16:25:27.421222,gaming chair,Tablet,Product Page,True,"['DXRacer', 'Secretlab Titan', 'Razer Iskur']",2.94,False,,False
154,7989,635821,2025-01-06 02:21:19.421222,mouse,Desktop,Product Page,True,"['Logitech MX Master 3', 'Razer DeathAdder', 'SteelSeries Rival 5']",2.19,True,SteelSeries Rival 5,True
155,9256,923572,2025-01-07 13:04:52.421222,laptop,Tablet,Homepage,True,"['Dell XPS 13', 'MacBook Air', 'HP Spectre x360']",2.83,False,,False
156,7980,911746,2025-01-17 16:13:57.421222,laptop,Tablet,Homepage,True,"['Dell XPS 13', 'MacBook Air', 'HP Spectre x360']",0.84,True,HP Spectre x360,True
157,9731,889547,2025-01-20 03:56:57.421222,headphones,Desktop,Homepage,True,"['Sony WH-1000XM5', 'Bose 700', 'Sennheiser Momentum 4']",2.0,True,Bose 700,False
158,8783,408970,2025-01-19 19:53:55.421222,shoes,Desktop,Category Page,False,[],3.31,False,,False
159,7992,343280,2025-01-30 03:14:13.421222,laptop,Tablet,Product Page,True,"['Dell XPS 13', 'MacBook Air', 'HP Spectre x360']",0.55,True,Dell XPS 13,False
160,9949,344682,2025-01-12 20:25:32.421222,water bottle,Desktop,Category Page,False,[],1.17,False,,False
161,4852,150213,2025-01-22 07:57:26.421222,wireless earbuds,Tablet,Homepage,True,"['AirPods Pro', 'Sony WF-1000XM4', 'Bose QuietComfort Earbuds']",0.22,True,Bose QuietComfort Earbuds,False
162,6805,797901,2025-01-23 16:01:40.421222,shoes,Mobile,Category Page,False,[],2.46,False,,False
163,5272,385149,2025-02-03 17:49:57.421222,wireless earbuds,Tablet,Category Page,True,"['AirPods Pro', 'Sony WF-1000XM4', 'Bose QuietComfort Earbuds']",2.59,True,Sony WF-1000XM4,True
164,7044,848110,2025-01-31 23:53:23.421222,dresses,Mobile,Product Page,False,[],2.86,False,,False
165,3606,969259,2025-01-20 13:08:35.421222,socks,Mobile,Category Page,False,[],3.49,False,,False
166,4631,141917,2025-01-27 18:10:17.421222,dresses,Desktop,Homepage,False,[],2.67,False,,False
167,1009,63664,2025-01-06 17:32:04.421222,coffee mug,Desktop,Homepage,True,"['Ceramic Mug', 'Travel Mug', 'Insulated Mug']",1.52,True,Ceramic Mug,False
168,1978,246626,2025-01-20 12:21:55.421222,smartphone,Mobile,Category Page,True,"['iPhone 15', 'Samsung Galaxy S24', 'Google Pixel 8']",2.08,True,Samsung Galaxy S24,False
169,4335,743448,2025-01-28 07:33:51.421222,wireless earbuds,Desktop,Product Page,True,"['AirPods Pro', 'Sony WF-1000XM4', 'Bose QuietComfort Earbuds']",1.75,True,Bose QuietComfort Earbuds,False
170,5404,477521,2025-01-30 04:32:01.421222,laptop,Tablet,Category Page,True,"['Dell XPS 13', 'MacBook Air', 'HP Spectre x360']",3.45,True,HP Spectre x360,False
171,7095,961351,2025-01-28 21:00:51.421222,shoes,Mobile,Homepage,False,[],0.65,False,,False
172,2522,562404,2025-01-20 15:07:25.421222,coffee mug,Tablet,Product Page,True,"['Ceramic Mug', 'Travel Mug', 'Insulated Mug']",2.34,True,Travel Mug,False
